id,nombre,sistema_principal,prior_inc,prior_prev,w_priors
p_887,Patologia_887,Digestivo,0.2382,0.2467,0.3
p_888,Patologia_888,Cardiovascular,0.0994,0.7265,0.3
p_889,Patologia_889,Digestivo,0.2432,0.9918,0.3
p_890,Patologia_890,Endocrino,0.7223,0.0992,0.3
p_891,Patologia_891,Endocrino,0.8557,0.4015,0.3
p_892,Patologia_892,Cardiovascular,0.8302,0.8001,0.3
p_893,Patologia_893,Cardiovascular,0.3972,0.204,0.3
p_894,Patologia_894,Neurológico,0.6681,0.5551,0.3
p_895,Patologia_895,Endocrino,0.205,0.7331,0.3
p_896,Patologia_896,Neurológico,0.2931,0.616,0.3
p_897,Patologia_897,Cardiovascular,0.8963,0.188,0.3
p_898,Patologia_898,Digestivo,0.013,0.3554,0.3
p_899,Patologia_899,Endocrino,0.0855,0.7838,0.3
p_900,Patologia_900,Digestivo,0.2079,0.5542,0.3
p_901,Patologia_901,Neurológico,0.0265,0.0052,0.3
p_902,Patologia_902,Neurológico,0.1814,0.761,0.3
p_903,Patologia_903,Respiratorio,0.583,0.0353,0.3
p_904,Patologia_904,Endocrino,0.4214,0.7457,0.3
p_905,Patologia_905,Endocrino,0.8927,0.2025,0.3
p_906,Patologia_906,Neurológico,0.8174,0.9581,0.3
p_907,Patologia_907,Digestivo,0.3418,0.3679,0.3
p_908,Patologia_908,Endocrino,0.2594,0.3269,0.3
p_909,Patologia_909,Neurológico,0.3797,0.1489,0.3
p_910,Patologia_910,Respiratorio,0.5903,0.3056,0.3
p_911,Patologia_911,Cardiovascular,0.2681,0.8767,0.3
p_912,Patologia_912,Endocrino,0.6241,0.9963,0.3
p_913,Patologia_913,Cardiovascular,0.4094,0.3683,0.3
p_914,Patologia_914,Digestivo,0.552,0.4486,0.3
p_915,Patologia_915,Respiratorio,0.4361,0.7221,0.3
p_916,Patologia_916,Endocrino,0.2945,0.8862,0.3
p_917,Patologia_917,Cardiovascular,0.9485,0.593,0.3
p_918,Patologia_918,Cardiovascular,0.7636,0.3915,0.3
p_919,Patologia_919,Neurológico,0.1401,0.4126,0.3
p_920,Patologia_920,Cardiovascular,0.8685,0.6956,0.3
p_921,Patologia_921,Digestivo,0.4874,0.0032,0.3
p_922,Patologia_922,Cardiovascular,0.8946,0.6196,0.3
p_923,Patologia_923,Digestivo,0.7999,0.3555,0.3
p_924,Patologia_924,Digestivo,0.4252,0.7942,0.3
p_925,Patologia_925,Neurológico,0.0225,0.093,0.3
p_926,Patologia_926,Respiratorio,0.2687,0.5882,0.3
p_927,Patologia_927,Digestivo,0.5416,0.481,0.3
p_928,Patologia_928,Cardiovascular,0.6335,0.6423,0.3
p_929,Patologia_929,Cardiovascular,0.2579,0.0649,0.3
p_930,Patologia_930,Digestivo,0.1394,0.58,0.3
p_931,Patologia_931,Cardiovascular,0.8349,0.5615,0.3
p_932,Patologia_932,Endocrino,0.9844,0.5607,0.3
p_933,Patologia_933,Neurológico,0.5257,0.6035,0.3
p_934,Patologia_934,Cardiovascular,0.1717,0.6765,0.3
p_935,Patologia_935,Neurológico,0.2723,0.805,0.3
p_936,Patologia_936,Digestivo,0.0184,0.2698,0.3
p_937,Patologia_937,Digestivo,0.9143,0.825,0.3
p_938,Patologia_938,Digestivo,0.1178,0.4983,0.3
p_939,Patologia_939,Neurológico,0.5765,0.0771,0.3
p_940,Patologia_940,Cardiovascular,0.2741,0.0586,0.3
p_941,Patologia_941,Endocrino,0.5542,0.3342,0.3
p_942,Patologia_942,Neurológico,0.6514,0.7849,0.3
p_943,Patologia_943,Endocrino,0.8297,0.7077,0.3
p_944,Patologia_944,Cardiovascular,0.2064,0.7886,0.3
p_945,Patologia_945,Cardiovascular,0.011,0.5173,0.3
p_946,Patologia_946,Neurológico,0.1369,0.4402,0.3
p_947,Patologia_947,Respiratorio,0.9,0.1475,0.3
p_948,Patologia_948,Endocrino,0.8739,0.3282,0.3
p_949,Patologia_949,Digestivo,0.5974,0.434,0.3
p_950,Patologia_950,Endocrino,0.6005,0.0886,0.3
p_951,Patologia_951,Cardiovascular,0.665,0.2206,0.3
p_952,Patologia_952,Cardiovascular,0.1754,0.5982,0.3
p_953,Patologia_953,Neurológico,0.9144,0.7357,0.3
p_954,Patologia_954,Respiratorio,0.4188,0.9983,0.3
p_955,Patologia_955,Digestivo,0.3831,0.9331,0.3
p_956,Patologia_956,Endocrino,0.5189,0.6426,0.3
p_957,Patologia_957,Respiratorio,0.047,0.4212,0.3
p_958,Patologia_958,Digestivo,0.1663,0.6362,0.3
p_959,Patologia_959,Cardiovascular,0.738,0.7857,0.3
p_960,Patologia_960,Cardiovascular,0.0828,0.1183,0.3
p_961,Patologia_961,Neurológico,0.6032,0.4099,0.3
p_962,Patologia_962,Neurológico,0.2453,0.8398,0.3
p_963,Patologia_963,Endocrino,0.3893,0.3838,0.3
p_964,Patologia_964,Respiratorio,0.2887,0.5719,0.3
p_965,Patologia_965,Respiratorio,0.3557,0.5878,0.3
p_966,Patologia_966,Digestivo,0.719,0.1845,0.3
p_967,Patologia_967,Endocrino,0.2971,0.3622,0.3
p_968,Patologia_968,Neurológico,0.5664,0.3345,0.3
p_969,Patologia_969,Endocrino,0.4761,0.0262,0.3
p_970,Patologia_970,Cardiovascular,0.6637,0.0242,0.3
p_971,Patologia_971,Neurológico,0.9368,0.8317,0.3
p_972,Patologia_972,Respiratorio,0.7326,0.2731,0.3
p_973,Patologia_973,Neurológico,0.2149,0.5181,0.3
p_974,Patologia_974,Cardiovascular,0.0312,0.2987,0.3
p_975,Patologia_975,Neurológico,0.2623,0.9407,0.3
p_976,Patologia_976,Respiratorio,0.5951,0.2593,0.3
p_977,Patologia_977,Cardiovascular,0.0514,0.4297,0.3
p_978,Patologia_978,Digestivo,0.4964,0.8727,0.3
p_979,Patologia_979,Endocrino,0.5968,0.8419,0.3
p_980,Patologia_980,Digestivo,0.3342,0.1861,0.3
p_981,Patologia_981,Cardiovascular,0.7709,0.8026,0.3
p_982,Patologia_982,Cardiovascular,0.1066,0.4582,0.3
p_983,Patologia_983,Cardiovascular,0.0751,0.483,0.3
p_984,Patologia_984,Respiratorio,0.7282,0.1335,0.3
p_985,Patologia_985,Cardiovascular,0.4955,0.0806,0.3
p_986,Patologia_986,Endocrino,0.6884,0.7279,0.3
p_987,Patologia_987,Respiratorio,0.4348,0.4965,0.3
p_988,Patologia_988,Cardiovascular,0.2464,0.4369,0.3
p_989,Patologia_989,Respiratorio,0.8191,0.7295,0.3
p_990,Patologia_990,Endocrino,0.7994,0.7655,0.3
p_991,Patologia_991,Endocrino,0.6947,0.1589,0.3
p_992,Patologia_992,Respiratorio,0.2721,0.6102,0.3
p_993,Patologia_993,Neurológico,0.5902,0.1354,0.3
p_994,Patologia_994,Digestivo,0.361,0.7514,0.3
p_995,Patologia_995,Cardiovascular,0.0916,0.657,0.3
p_996,Patologia_996,Digestivo,0.9173,0.9566,0.3
p_997,Patologia_997,Endocrino,0.1368,0.069,0.3
p_998,Patologia_998,Digestivo,0.9502,0.0571,0.3
p_999,Patologia_999,Neurológico,0.446,0.2822,0.3
