from,to,exp,tol,peso,sensibilidad,especificidad,obligatorio
a528,x1923,0.54,0.12,0.83,0.59,0.31,True
a528,x2487,0.72,0.3,0.88,0.85,0.86,False
a528,x2159,0.7,0.1,0.69,0.36,0.45,True
a528,x1929,1.0,0.23,0.49,0.59,0.96,False
a528,x126,0.56,0.46,0.45,0.64,0.65,False
a528,x1362,0.74,0.18,0.36,0.31,0.35,False
a528,x23,0.69,0.49,0.43,0.92,0.86,True
a529,x1343,0.67,0.27,0.44,0.99,0.49,False
a529,x1714,0.56,0.18,0.41,0.6,0.45,True
a529,x1434,0.93,0.13,0.73,0.97,0.24,True
a529,x896,0.6,0.36,0.49,0.96,0.66,True
a529,x2429,0.72,0.25,0.73,0.5,0.24,True
a529,x825,0.51,0.2,0.93,0.97,0.48,False
a529,x262,0.84,0.24,0.21,0.71,0.73,False
a529,x1521,0.84,0.31,0.54,0.56,0.36,True
a529,x1058,0.68,0.34,0.63,0.48,0.26,True
a529,x830,0.57,0.26,0.9,0.68,0.84,True
a529,x857,0.78,0.14,0.83,0.4,0.54,True
a529,x756,0.92,0.35,0.31,0.45,0.72,False
a529,x494,0.54,0.1,0.87,0.97,0.9,True
a529,x1651,0.72,0.27,0.89,0.94,0.96,True
a530,x2801,0.74,0.32,0.76,0.86,0.88,True
a530,x1819,0.59,0.5,0.93,0.32,0.63,True
a530,x254,0.91,0.38,0.51,0.51,0.85,False
a530,x2702,0.53,0.21,0.9,0.37,0.45,False
a530,x2336,0.75,0.36,0.39,0.78,0.88,False
a531,x2164,0.83,0.32,0.67,0.71,0.63,True
a531,x430,0.86,0.32,0.53,0.43,0.84,False
a531,x950,0.59,0.47,0.27,0.37,0.33,False
a531,x2687,0.86,0.3,0.64,0.4,0.91,False
a531,x2684,0.66,0.34,0.78,0.96,0.82,False
a531,x1297,0.82,0.25,0.83,1.0,0.28,True
a531,x1983,0.52,0.45,0.37,0.66,0.66,False
a531,x706,0.92,0.13,0.46,0.45,0.27,False
a531,x2556,0.89,0.5,0.32,0.86,0.97,False
a531,x269,0.79,0.43,0.7,0.96,0.55,True
a531,x2734,0.62,0.32,0.93,0.51,0.86,True
a531,x570,0.74,0.18,0.23,0.66,0.67,True
a531,x2014,0.86,0.4,0.32,0.9,0.96,True
a532,x2448,0.83,0.15,0.49,0.36,0.67,False
a532,x1496,0.77,0.22,0.6,0.54,0.36,False
a532,x2897,0.75,0.42,0.45,0.94,0.55,False
a532,x822,0.77,0.18,0.9,0.89,0.75,True
a532,x2266,0.8,0.12,0.85,0.74,0.22,True
a532,x1952,0.53,0.44,0.82,0.73,0.37,True
a532,x188,0.76,0.22,0.62,0.72,0.46,True
a532,x1172,0.91,0.11,0.56,1.0,0.44,True
a532,x1654,0.57,0.44,0.2,0.38,0.71,True
a532,x2100,0.76,0.31,0.31,1.0,0.21,False
a532,x1909,0.86,0.48,0.99,0.36,0.82,True
a532,x2745,0.61,0.45,0.29,0.76,0.63,False
a532,x1052,0.8,0.45,0.3,0.82,0.87,False
a532,x1318,0.99,0.27,0.27,0.48,0.59,False
a532,x412,0.96,0.25,0.43,0.92,0.95,True
a532,x2238,0.62,0.34,0.98,0.81,0.82,False
a532,x652,0.86,0.12,0.81,0.9,0.23,True
a532,x214,0.55,0.16,0.87,0.45,0.42,False
a532,x651,0.84,0.35,0.6,0.61,0.54,False
a532,x551,0.84,0.14,0.9,0.51,0.21,False
a533,x461,0.84,0.47,0.48,0.39,0.2,False
a533,x53,0.61,0.28,0.2,0.44,0.39,False
a533,x2478,0.94,0.36,0.45,0.73,0.47,True
a533,x2313,0.66,0.14,0.87,0.66,0.53,False
a533,x998,0.89,0.41,0.74,0.49,0.24,False
a533,x2789,0.51,0.26,0.74,0.68,0.34,False
a533,x1894,0.52,0.43,0.33,0.8,0.77,False
a533,x2286,0.64,0.15,0.2,0.83,0.87,False
a533,x2902,0.7,0.34,0.84,0.65,0.77,True
a533,x985,0.74,0.35,0.7,0.4,0.97,False
a533,x1485,0.73,0.1,0.86,0.51,0.85,False
a533,x117,0.77,0.2,1.0,0.39,0.88,False
a533,x1432,0.91,0.3,0.9,0.76,0.48,False
a534,x962,0.57,0.17,0.24,0.94,0.27,False
a534,x1919,0.83,0.15,0.43,0.63,0.37,False
a534,x2450,0.98,0.21,0.84,0.49,0.76,True
a534,x1209,0.97,0.15,0.4,0.44,0.34,False
a534,x1024,0.54,0.36,0.36,0.55,0.65,False
a534,x2648,0.56,0.3,0.46,0.86,0.83,False
a534,x1360,0.84,0.26,0.87,0.89,0.63,True
a534,x1537,0.74,0.37,0.74,0.58,0.48,False
a534,x769,0.59,0.33,0.25,0.61,0.32,True
a534,x1186,0.62,0.37,0.98,0.57,0.25,True
a535,x2993,0.53,0.37,0.53,0.98,0.32,True
a535,x133,0.98,0.22,0.82,0.98,0.34,True
a535,x1129,0.73,0.48,0.99,0.95,0.68,False
a535,x502,0.7,0.23,0.78,0.33,0.39,False
a535,x613,0.68,0.21,0.88,0.9,0.95,True
a535,x2717,0.75,0.31,0.32,0.93,0.55,False
a536,x2617,0.76,0.14,0.6,0.93,0.8,True
a536,x506,0.77,0.35,0.56,0.67,0.28,True
a536,x1257,0.55,0.12,0.85,0.66,0.49,False
a536,x1192,0.55,0.14,0.5,0.51,0.32,True
a536,x894,0.62,0.19,0.55,0.42,0.88,True
a536,x1190,0.72,0.33,0.38,0.78,0.42,False
a536,x651,0.78,0.19,0.92,0.67,0.59,False
a536,x75,0.54,0.36,0.45,0.88,0.98,True
a536,x1442,0.95,0.13,0.61,0.66,0.27,True
a536,x1277,0.97,0.32,0.53,0.87,0.56,False
a536,x1006,0.89,0.4,0.98,0.91,0.87,True
a536,x2677,0.52,0.39,0.77,0.34,0.92,True
a536,x1617,0.58,0.1,0.2,0.78,0.34,True
a536,x2379,0.62,0.45,0.4,0.69,0.73,True
a536,x134,0.73,0.48,0.55,0.43,0.79,False
a537,x2411,0.6,0.41,0.95,0.85,0.92,True
a537,x70,0.78,0.25,0.83,0.71,0.98,False
a537,x633,0.87,0.36,0.22,0.51,0.66,True
a537,x156,0.7,0.15,0.85,0.73,0.6,True
a537,x228,0.59,0.17,0.9,0.86,0.33,True
a537,x1076,0.77,0.24,0.74,0.42,0.49,False
a537,x777,0.9,0.34,0.91,0.74,0.44,True
a537,x2445,0.73,0.42,0.44,0.59,0.39,True
a537,x1731,0.85,0.25,0.72,0.78,0.87,False
a537,x2828,0.95,0.38,0.68,0.85,0.91,False
a537,x1190,0.74,0.11,0.65,0.58,0.88,True
a537,x939,0.59,0.18,0.29,0.83,0.76,True
a537,x2099,0.5,0.39,0.33,0.72,0.45,True
a537,x590,0.75,0.15,0.24,0.34,0.8,False
a537,x1728,0.63,0.25,0.8,0.48,0.82,False
a537,x2920,0.63,0.47,0.54,0.53,0.98,False
a537,x2526,0.88,0.28,0.32,0.48,0.63,False
a537,x1240,0.54,0.13,0.64,0.61,0.57,False
a538,x1268,0.74,0.15,0.57,0.9,0.55,False
a538,x1968,0.83,0.28,0.49,0.43,0.38,True
a538,x2981,0.58,0.46,0.95,0.31,0.33,False
a538,x1231,0.96,0.26,0.74,0.58,0.83,True
a538,x1413,0.85,0.28,0.92,0.59,0.91,True
a538,x853,0.53,0.17,0.56,0.88,0.4,True
a539,x17,0.84,0.28,0.54,0.32,0.48,False
a539,x1464,0.58,0.4,0.3,0.63,0.27,False
a539,x69,0.82,0.21,0.63,0.79,0.33,False
a539,x773,0.66,0.28,0.33,0.76,0.58,True
a539,x611,0.68,0.34,0.87,0.83,0.45,True
a539,x682,0.7,0.18,0.79,0.38,0.27,False
a539,x1845,0.87,0.22,0.99,0.52,0.49,True
a539,x2068,0.99,0.24,0.21,0.9,0.33,False
a539,x1443,0.51,0.23,0.69,0.68,0.82,True
a539,x1892,0.7,0.49,0.25,0.79,0.88,True
a539,x1609,0.72,0.48,0.75,0.44,0.82,False
a539,x2214,0.54,0.18,0.6,0.72,0.96,True
a539,x1493,0.89,0.17,0.96,0.31,0.6,False
a539,x2828,0.54,0.39,0.91,0.89,0.81,False
a539,x2913,0.74,0.49,0.89,0.34,0.9,True
a539,x2973,0.8,0.39,0.2,0.51,0.38,False
a539,x158,0.54,0.26,0.99,0.51,0.44,False
a540,x795,0.82,0.37,0.51,0.76,0.88,True
a540,x751,0.62,0.21,0.32,0.9,0.78,True
a540,x1847,0.54,0.45,0.41,0.74,0.74,False
a540,x2646,0.88,0.11,0.81,0.94,0.96,False
a540,x1600,0.76,0.47,0.33,0.63,0.57,True
a540,x839,0.95,0.14,0.44,0.8,0.7,False
a540,x1739,0.75,0.3,0.71,0.8,0.37,True
a540,x1964,0.94,0.39,0.81,0.4,0.95,True
a540,x2353,0.65,0.1,0.31,0.76,0.52,False
a540,x1767,0.83,0.24,0.71,0.85,0.74,False
a540,x1463,0.83,0.16,0.27,0.6,0.25,False
a540,x2069,0.9,0.41,0.41,0.74,0.45,True
a540,x1018,0.73,0.2,0.84,0.84,0.66,True
a541,x2718,0.95,0.21,0.86,0.74,0.3,True
a541,x1517,0.58,0.26,0.63,0.45,0.54,True
a541,x1143,0.7,0.38,0.68,0.82,0.21,True
a541,x326,0.8,0.24,0.23,0.88,0.6,False
a541,x1956,0.68,0.25,0.7,0.68,0.59,True
a541,x480,0.54,0.12,0.58,0.37,0.31,False
a541,x960,0.84,0.15,0.63,0.93,0.85,False
a542,x2413,0.57,0.18,0.26,0.35,0.42,False
a542,x1423,0.91,0.36,0.61,0.6,0.82,False
a542,x1738,0.91,0.2,0.89,0.57,0.28,False
a542,x2182,0.51,0.33,0.26,0.66,0.28,False
a542,x1660,0.92,0.17,0.3,0.87,0.31,True
a542,x729,0.97,0.21,0.32,0.95,0.66,False
a542,x974,0.94,0.13,0.68,0.51,0.45,False
a542,x1606,0.5,0.48,0.55,0.5,0.76,False
a542,x3000,0.98,0.1,0.58,0.75,0.38,False
a542,x1105,0.89,0.12,0.5,0.88,0.32,True
a542,x1316,0.92,0.11,0.39,0.94,0.84,False
a542,x607,0.65,0.18,0.41,0.95,0.35,True
a542,x395,0.51,0.18,0.95,0.67,0.45,True
a542,x2181,0.89,0.48,0.2,0.31,0.61,False
a542,x1867,0.97,0.48,0.33,0.37,0.49,True
a542,x788,0.92,0.4,0.5,0.31,0.29,True
a542,x1764,0.84,0.39,0.97,0.35,0.35,False
a542,x1071,0.65,0.44,0.29,0.51,0.84,True
a542,x966,0.85,0.24,0.66,0.86,0.62,False
a542,x1130,0.52,0.39,0.91,0.46,0.43,False
a543,x2460,0.91,0.41,0.89,0.34,0.41,False
a543,x37,0.65,0.39,0.88,0.68,0.35,False
a543,x2120,0.74,0.43,0.43,0.8,0.94,True
a543,x2855,0.78,0.17,0.46,0.95,0.37,False
a543,x2082,0.74,0.46,0.22,0.92,0.32,True
a543,x94,0.83,0.42,0.68,0.98,0.67,True
a543,x1474,0.51,0.44,0.74,0.31,0.39,True
a543,x311,0.57,0.31,0.91,0.84,0.8,False
a543,x2458,0.98,0.47,0.96,0.31,0.76,False
a543,x916,0.94,0.33,0.94,0.77,0.31,False
a543,x2569,0.75,0.23,0.52,0.98,0.45,True
a544,x533,0.64,0.38,0.94,0.89,0.8,True
a544,x1864,0.68,0.13,0.91,0.67,0.45,False
a544,x2749,0.91,0.11,0.94,0.61,0.72,True
a544,x1779,0.55,0.46,0.53,0.58,0.41,False
a544,x539,0.71,0.16,0.28,0.79,0.64,True
a544,x1472,0.66,0.14,0.26,0.33,0.67,False
a544,x1552,0.51,0.26,0.39,0.47,0.54,True
a544,x1667,0.85,0.38,0.29,0.59,0.56,False
a544,x881,0.97,0.37,0.49,0.95,0.71,False
a544,x1932,0.64,0.33,0.31,0.62,0.65,True
a544,x2781,0.98,0.46,0.8,0.39,0.6,False
a544,x1841,0.66,0.32,0.94,0.4,0.37,False
a545,x48,0.62,0.17,0.28,0.58,0.6,False
a545,x1245,0.69,0.42,0.59,0.3,0.37,True
a545,x73,0.7,0.24,0.69,0.45,0.9,False
a545,x2205,0.85,0.32,0.68,0.57,0.95,False
a545,x241,0.83,0.12,0.98,0.95,0.78,True
a545,x2887,0.57,0.33,0.77,0.56,0.72,True
a545,x1380,0.88,0.12,0.43,0.33,0.37,False
a545,x1342,0.51,0.11,0.91,0.92,0.82,True
a545,x2581,0.52,0.33,0.52,0.63,0.75,True
a545,x2300,0.99,0.44,0.83,0.85,0.67,False
a545,x1649,0.89,0.2,0.4,0.42,0.76,True
a545,x1128,0.91,0.14,0.81,0.63,0.69,True
a545,x307,0.72,0.37,0.62,0.77,0.94,False
a545,x2087,0.63,0.21,0.71,0.37,0.85,True
a545,x612,0.98,0.44,0.69,0.96,0.57,True
a546,x1785,0.57,0.32,0.21,0.78,0.78,False
a546,x838,0.84,0.29,0.67,0.88,0.75,True
a546,x711,0.95,0.37,0.76,0.37,0.42,False
a546,x2694,0.88,0.46,0.39,0.99,0.33,True
a546,x2974,0.98,0.27,0.23,0.53,0.44,False
a546,x1941,0.62,0.38,0.49,0.96,0.48,False
a546,x2946,0.76,0.39,0.4,0.54,0.91,False
a546,x639,0.91,0.21,0.62,0.99,1.0,True
a546,x1782,0.74,0.25,0.97,0.78,0.59,False
a546,x175,0.53,0.47,0.93,0.59,0.85,False
a547,x2930,0.85,0.35,0.85,0.79,0.27,False
a547,x1065,0.59,0.32,0.77,0.83,0.27,True
a547,x1830,0.96,0.29,0.67,0.45,0.41,True
a547,x1295,0.75,0.45,0.63,0.49,0.58,False
a547,x2974,0.67,0.38,0.32,0.93,0.25,True
a547,x18,0.99,0.39,0.63,0.66,0.58,True
a547,x254,0.93,0.21,0.54,0.34,0.97,True
a547,x1820,0.52,0.22,0.41,0.43,0.53,False
a547,x153,0.81,0.12,0.24,0.92,0.4,True
a547,x425,0.9,0.35,0.52,0.33,0.9,True
a547,x2071,0.63,0.48,0.86,0.49,0.85,True
a548,x358,0.55,0.11,0.82,0.44,0.5,False
a548,x2763,0.88,0.35,0.54,0.69,0.55,True
a548,x2265,0.9,0.45,0.96,0.84,0.7,False
a548,x24,0.69,0.34,0.94,0.93,0.41,False
a548,x651,1.0,0.25,0.54,0.75,0.42,False
a548,x1507,0.99,0.47,0.92,0.45,0.76,True
a548,x2645,0.71,0.32,0.85,0.31,0.61,True
a548,x1280,0.74,0.17,0.65,0.43,0.8,True
a548,x1292,0.91,0.44,0.93,0.31,0.62,True
a548,x2672,0.81,0.28,0.68,0.86,0.64,False
a548,x1522,0.85,0.36,0.58,0.5,0.92,False
a548,x933,0.77,0.24,0.33,0.97,0.81,False
a548,x1049,0.5,0.27,0.8,0.55,0.68,True
a549,x2425,0.9,0.27,0.31,0.78,0.2,False
a549,x422,0.52,0.45,0.5,0.95,0.46,True
a549,x1172,0.77,0.45,1.0,0.38,0.88,False
a549,x923,0.99,0.42,0.55,0.7,0.91,True
a549,x2723,0.99,0.48,0.29,0.91,0.53,True
a549,x2290,0.99,0.26,0.35,1.0,0.52,False
a549,x875,0.74,0.11,0.85,0.98,0.52,False
a549,x30,0.9,0.2,0.5,0.86,0.31,False
a549,x1019,0.6,0.48,0.34,0.55,0.47,False
a549,x1467,0.58,0.45,0.54,0.61,0.43,False
a550,x1604,0.94,0.3,0.38,0.68,0.24,False
a550,x2603,0.94,0.4,0.52,0.37,0.51,True
a550,x825,0.72,0.24,0.23,0.9,0.39,False
a550,x2290,0.98,0.42,0.44,0.65,0.71,False
a550,x1981,0.95,0.45,0.83,0.79,0.78,False
a550,x1593,0.67,0.45,0.6,0.79,0.97,True
a550,x306,0.92,0.33,0.68,0.93,0.39,True
a550,x1649,0.76,0.49,0.54,0.96,0.78,True
a550,x1943,0.82,0.26,0.6,0.46,0.39,True
a550,x110,0.68,0.36,0.69,0.9,0.41,False
a550,x301,0.54,0.12,0.5,0.56,0.32,True
a550,x422,0.67,0.18,0.44,0.69,0.36,True
a550,x2657,0.69,0.1,0.76,0.43,0.92,False
a550,x2710,0.92,0.21,0.42,0.94,0.98,True
a550,x1353,0.75,0.46,0.74,0.8,0.8,False
a550,x123,0.54,0.36,0.67,0.93,0.52,False
a550,x2473,0.63,0.33,0.46,0.33,0.5,False
a550,x452,0.58,0.1,0.48,0.78,0.31,False
a550,x1394,0.53,0.5,0.57,0.65,0.99,True
a550,x1876,0.63,0.39,0.58,0.69,0.38,True
a551,x1569,0.73,0.17,0.63,0.48,0.45,True
a551,x1518,0.78,0.26,0.63,0.6,0.43,False
a551,x788,0.84,0.44,0.85,0.34,0.65,True
a551,x1374,0.76,0.46,0.88,0.83,0.97,False
a551,x1968,0.5,0.18,0.88,0.92,0.8,True
a551,x2746,0.73,0.34,0.33,0.52,0.83,False
a551,x2861,0.77,0.18,0.96,0.96,0.52,True
a551,x561,0.97,0.4,0.88,0.36,0.29,True
a552,x1079,0.88,0.2,0.7,0.77,0.67,True
a552,x320,0.79,0.31,0.95,0.44,0.85,False
a552,x2248,0.51,0.49,0.63,0.54,0.35,False
a552,x1879,0.85,0.23,0.27,0.56,0.92,False
a552,x98,0.71,0.43,0.69,0.48,0.26,False
a552,x2577,0.66,0.23,0.88,0.47,0.34,False
a552,x1795,0.88,0.25,0.51,0.7,0.22,False
a552,x2901,0.64,0.48,0.57,0.81,0.28,False
a552,x2292,0.76,0.13,0.98,0.72,0.46,True
a552,x1056,0.57,0.27,0.83,0.3,0.27,True
a552,x775,0.6,0.13,0.42,0.91,0.47,False
a552,x154,0.55,0.34,0.8,0.95,0.62,False
a552,x2028,0.98,0.16,0.37,0.39,0.95,True
a552,x2212,0.69,0.12,0.56,0.95,0.26,False
a552,x1796,0.84,0.15,0.97,0.97,0.52,False
a552,x1926,0.77,0.33,0.7,0.42,0.65,False
a553,x1767,0.79,0.38,0.83,0.85,0.47,True
a553,x717,0.9,0.46,0.46,0.84,0.51,True
a553,x353,0.77,0.46,0.47,0.44,0.37,False
a553,x2190,0.57,0.44,0.3,0.88,0.51,True
a553,x1087,0.69,0.29,0.47,0.31,0.82,False
a553,x2340,0.6,0.35,0.78,0.81,0.34,True
a553,x2440,0.81,0.23,0.66,0.56,0.85,True
a553,x2627,0.75,0.18,0.48,0.46,0.44,False
a553,x567,0.77,0.15,0.26,0.48,0.81,False
a553,x1857,0.58,0.26,0.98,0.58,0.35,False
a553,x711,0.56,0.18,0.23,0.88,0.49,False
a553,x2801,0.88,0.49,0.64,0.88,0.42,True
a553,x363,0.89,0.46,0.91,0.47,0.96,False
a553,x2111,0.92,0.3,0.88,0.88,0.64,True
a554,x2557,0.85,0.45,0.8,0.74,0.98,True
a554,x2109,0.6,0.39,0.63,0.56,0.89,True
a554,x2435,0.9,0.34,0.77,0.56,0.68,False
a554,x695,1.0,0.33,0.38,0.94,0.31,True
a554,x503,0.97,0.26,0.53,0.62,0.83,False
a554,x985,0.83,0.11,0.56,0.62,0.52,True
a554,x684,0.75,0.17,0.4,0.83,0.34,True
a554,x2228,0.54,0.31,0.64,0.63,0.38,True
a554,x2526,0.68,0.16,0.48,0.7,0.7,True
a554,x1041,0.76,0.3,0.55,0.65,0.75,False
a554,x2869,0.58,0.39,0.72,0.51,1.0,True
a554,x2794,0.93,0.1,0.28,0.43,0.52,False
a554,x2930,0.85,0.18,0.78,0.54,0.83,True
a554,x1482,0.68,0.47,0.73,0.63,0.88,False
a554,x693,0.98,0.27,0.84,0.86,0.41,True
a554,x225,0.8,0.36,0.58,0.68,0.8,True
a554,x1854,0.8,0.17,0.52,0.84,0.26,False
a555,x305,0.51,0.17,0.77,0.79,0.71,False
a555,x2746,0.86,0.32,0.85,0.98,0.78,False
a555,x119,0.7,0.17,0.56,0.61,0.96,True
a555,x2214,0.97,0.32,0.87,0.88,0.94,False
a555,x1798,0.88,0.47,0.57,0.81,0.6,False
a555,x767,0.74,0.12,0.63,0.69,0.46,False
a555,x1362,0.59,0.17,0.4,0.56,0.39,False
a555,x2890,0.52,0.36,0.38,0.4,0.79,False
a555,x1668,0.77,0.3,0.71,0.64,0.77,True
a555,x2041,0.74,0.2,0.64,0.57,0.54,True
a555,x1147,0.61,0.29,0.71,0.47,0.3,True
a555,x489,0.5,0.25,0.79,0.31,0.73,False
a555,x839,0.82,0.38,0.99,0.38,0.89,False
a556,x859,1.0,0.15,0.24,0.57,0.28,False
a556,x2452,0.9,0.12,0.91,0.48,0.32,True
a556,x568,0.7,0.18,0.4,0.76,0.74,True
a556,x2178,0.85,0.44,0.2,0.71,0.38,True
a556,x2547,0.97,0.45,0.57,0.88,0.23,True
a556,x2172,0.62,0.16,0.37,0.68,0.21,False
a556,x1508,0.56,0.18,0.92,0.83,0.95,True
a556,x2884,0.52,0.38,0.63,0.78,0.35,False
a556,x1872,0.73,0.22,0.26,0.52,0.33,False
a557,x1816,0.57,0.47,0.74,0.33,0.51,True
a557,x2387,0.84,0.11,0.47,0.89,0.24,False
a557,x1183,0.9,0.26,0.25,0.43,0.77,False
a557,x38,0.89,0.45,0.23,0.96,0.51,False
a557,x2734,0.69,0.41,0.51,0.79,0.5,False
a557,x2082,0.52,0.35,0.71,0.82,0.28,False
a557,x312,0.52,0.43,0.7,0.48,0.32,True
a557,x1681,0.52,0.48,0.94,0.57,0.39,False
a557,x998,0.92,0.4,0.9,0.32,0.42,True
a557,x1141,0.89,0.2,0.56,0.67,0.24,False
a557,x1553,0.59,0.26,0.46,0.47,0.7,True
a557,x704,0.86,0.11,0.21,0.97,0.76,True
a557,x2550,0.67,0.29,0.48,0.91,0.3,True
a558,x60,0.66,0.21,0.41,0.34,0.55,False
a558,x2587,0.83,0.19,0.55,0.58,0.58,False
a558,x939,0.66,0.44,0.47,0.84,0.44,False
a558,x880,0.71,0.35,0.23,0.75,0.87,True
a558,x1347,0.58,0.16,0.98,0.78,0.39,True
a558,x1800,0.91,0.36,0.26,0.99,0.84,True
a558,x2815,0.54,0.32,0.96,0.61,0.62,False
a558,x1589,0.87,0.41,0.22,0.34,0.72,False
a559,x90,0.56,0.41,0.38,0.47,0.29,False
a559,x2049,0.87,0.27,0.94,0.81,0.97,True
a559,x588,0.63,0.46,0.62,0.41,0.29,True
a559,x647,0.7,0.11,0.8,0.93,0.31,True
a559,x594,0.8,0.14,0.52,0.63,0.96,True
a559,x1495,0.62,0.29,0.42,0.81,0.45,True
a559,x2068,0.66,0.15,0.55,0.93,0.76,False
a559,x1081,0.99,0.41,0.58,0.39,0.7,True
a559,x2056,0.56,0.4,0.64,0.5,0.37,True
a559,x962,0.84,0.36,0.74,0.85,0.42,False
a559,x184,0.67,0.38,0.56,0.87,0.29,True
a559,x796,0.62,0.36,0.42,0.7,0.92,False
a559,x1038,0.95,0.45,0.47,0.61,0.26,True
a559,x2311,0.8,0.18,0.34,0.71,0.85,True
a559,x402,0.72,0.43,0.62,0.5,0.69,True
a559,x2702,0.58,0.38,0.83,0.52,0.32,True
a559,x2363,0.55,0.45,0.84,0.56,0.22,True
a559,x1717,0.92,0.45,0.22,0.63,0.45,False
a559,x1235,0.83,0.19,0.97,0.55,0.41,False
a560,x271,0.66,0.39,0.91,0.98,0.64,True
a560,x446,0.97,0.36,0.38,0.62,0.32,False
a560,x149,0.7,0.18,0.77,0.98,0.45,False
a560,x47,0.52,0.15,0.99,0.91,0.39,False
a560,x885,0.73,0.34,0.73,0.31,0.56,True
a560,x1984,0.68,0.46,0.28,0.51,0.35,False
a560,x895,0.99,0.26,0.75,0.4,0.4,True
a560,x1648,0.93,0.45,0.43,0.51,0.23,False
a560,x1389,0.52,0.42,0.62,0.69,0.34,True
a560,x2404,0.91,0.24,0.93,0.39,0.96,True
a560,x1139,0.74,0.45,0.61,0.62,0.23,False
a560,x504,0.84,0.14,0.5,0.42,0.3,True
a560,x1701,0.89,0.19,0.27,0.85,0.5,True
a560,x2803,0.61,0.23,0.61,0.91,0.5,True
a560,x2641,0.54,0.18,0.81,0.6,0.27,False
a560,x2090,0.85,0.38,0.27,0.4,0.55,True
a560,x2354,0.95,0.17,0.83,0.69,0.5,False
a561,x1407,0.61,0.12,0.74,0.49,0.82,False
a561,x1963,0.72,0.48,0.38,0.35,0.3,False
a561,x1840,0.57,0.43,0.8,0.77,0.81,False
a561,x2880,0.97,0.17,0.2,0.55,0.28,True
a561,x2156,0.81,0.33,0.6,0.87,0.44,False
a561,x674,0.52,0.26,0.26,0.44,0.82,False
a561,x923,0.9,0.23,0.86,1.0,0.55,False
a561,x2747,0.89,0.22,0.49,0.69,0.78,True
a561,x1720,0.67,0.14,0.66,0.37,0.94,False
a561,x431,0.78,0.16,0.92,0.9,0.36,False
a561,x1817,0.84,0.44,0.23,0.72,0.75,True
a561,x1155,0.51,0.22,0.73,0.5,0.72,True
a561,x1668,0.7,0.36,0.98,0.38,0.78,False
a561,x1657,0.95,0.39,0.42,0.47,0.28,True
a561,x182,0.77,0.2,0.45,0.69,0.93,True
a561,x2017,0.75,0.39,0.46,0.4,0.75,False
a561,x2291,0.68,0.37,0.71,0.85,0.59,True
a561,x836,0.79,0.12,0.53,0.47,0.45,True
a561,x417,0.61,0.27,0.61,0.91,0.95,True
a562,x800,0.57,0.22,0.57,0.36,0.38,True
a562,x243,0.91,0.5,0.69,0.8,0.46,False
a562,x118,0.54,0.39,0.71,0.74,0.37,True
a562,x2755,0.68,0.2,0.27,0.83,0.94,False
a562,x632,0.76,0.16,0.88,0.55,0.4,True
a562,x2112,0.77,0.45,0.51,0.31,0.64,False
a562,x283,0.61,0.24,0.97,0.39,0.73,True
a562,x2682,0.88,0.11,0.47,0.85,0.23,True
a562,x2182,0.83,0.13,0.2,0.7,0.46,False
a562,x1589,0.57,0.39,0.47,0.94,0.52,True
a562,x185,0.59,0.19,0.37,0.92,0.6,False
a562,x1122,0.62,0.45,0.27,0.89,0.63,True
a562,x255,0.96,0.12,0.21,0.33,0.71,False
a562,x64,0.76,0.24,0.22,0.57,0.4,True
a563,x2976,0.91,0.15,0.25,0.71,0.53,False
a563,x564,0.95,0.15,0.44,0.38,0.6,False
a563,x2373,0.88,0.14,0.89,0.66,0.2,False
a563,x2829,0.93,0.46,0.82,0.74,0.62,False
a563,x436,0.62,0.19,0.78,0.57,0.66,True
a563,x2323,0.6,0.32,0.87,0.37,0.21,True
a563,x1692,0.98,0.31,0.39,0.71,0.59,True
a563,x815,0.71,0.39,0.62,0.85,0.81,False
a563,x2305,0.76,0.45,0.79,0.79,0.53,True
a563,x1309,0.88,0.28,0.85,0.74,0.23,True
a563,x2578,0.83,0.11,0.68,0.89,0.31,False
a563,x1453,0.63,0.31,0.75,0.39,0.62,True
a563,x1787,0.54,0.13,0.72,0.42,0.76,False
a563,x333,0.75,0.26,0.4,0.48,0.83,False
a563,x974,0.54,0.43,0.57,0.92,0.55,True
a563,x166,0.78,0.49,0.23,0.87,0.78,True
a564,x1555,0.98,0.32,0.23,0.81,0.8,True
a564,x2859,0.73,0.42,0.59,0.6,0.36,False
a564,x2760,0.65,0.34,0.7,0.66,0.98,False
a564,x2780,0.69,0.21,0.94,0.64,0.69,False
a564,x249,0.88,0.46,0.52,0.52,0.5,True
a564,x1847,0.55,0.25,0.53,0.6,0.46,False
a564,x2088,0.53,0.24,0.51,0.96,0.34,True
a564,x752,0.81,0.4,1.0,0.8,0.68,True
a564,x1965,0.79,0.43,0.94,0.92,0.41,False
a564,x1469,0.88,0.13,0.6,0.91,0.56,True
a564,x2688,0.89,0.22,0.25,0.6,0.67,True
a565,x415,0.84,0.29,0.77,0.59,0.62,False
a565,x661,0.95,0.13,0.85,0.8,0.74,True
a565,x791,0.94,0.21,0.41,0.82,0.3,True
a565,x1696,0.93,0.44,0.71,0.84,0.4,True
a565,x2566,0.83,0.23,0.67,0.68,0.73,False
a565,x2059,0.7,0.27,0.44,0.85,0.95,False
a565,x1489,0.67,0.11,0.83,0.71,0.61,True
